iter,|W|,DeltaL,DeltaU,Strategy
103,52,121,174,2
104,51,121,174,2
105,48,121,174,2
106,47,121,174,2
107,44,121,174,2
108,43,121,174,2
109,41,121,174,2
110,39,121,174,2
111,38,121,174,2
112,37,121,174,2
113,36,121,174,2
114,35,121,174,2
115,34,121,174,2
116,33,121,174,2
117,32,121,174,2
118,31,121,174,2
119,30,121,174,2
120,27,121,174,2
121,26,121,174,2
122,25,121,174,2
123,24,121,174,2
124,21,121,174,2
125,20,121,174,2
126,17,121,174,2
127,16,121,174,2
128,15,121,174,2
129,14,121,174,2
130,13,121,174,2
131,12,121,174,2
132,11,121,174,2
133,10,121,174,2
134,9,121,174,2
135,8,121,174,2
136,6,121,174,2
137,5,121,174,2
138,4,121,174,2
139,3,121,174,2
140,2,121,174,2
141,1,121,174,2
142,0,121,174,2
0,11142,102,204,3
1,10960,110,204,3
2,10782,114,204,3
3,10754,114,204,3
4,10753,114,204,3
5,10749,114,204,3
6,10744,114,204,3
7,10425,118,204,3
8,10424,118,204,3
9,10419,118,204,3
10,10414,118,204,3
11,10410,118,204,3
12,10406,118,204,3
13,10401,118,204,3
14,10397,118,204,3
15,10393,118,204,3
16,10389,118,204,3
17,10384,118,204,3
18,10371,118,204,3
19,10367,118,204,3
20,10364,118,204,3
21,10359,118,204,3
22,10355,118,204,3
23,10350,118,204,3
24,9962,121,204,3
25,9961,121,204,3
26,9960,121,204,3
27,9959,121,204,3
28,9958,121,204,3
29,9957,121,204,3
30,9956,121,204,3
31,9951,121,204,3
32,9947,121,204,3
33,9942,121,204,3
34,9938,121,204,3
35,9934,121,204,3
36,9929,121,204,3
37,9923,121,204,3
38,9915,121,204,3
39,9906,121,204,3
40,9896,121,204,3
41,9886,121,204,3
42,9874,121,204,3
43,9850,121,204,3
44,9808,121,204,3
45,9801,121,204,3
46,9790,121,204,3
47,9755,121,204,3
48,9717,121,204,3
49,9699,121,204,3
50,9682,121,204,3
51,9550,121,204,3
52,9491,121,204,3
53,9346,121,204,3
54,9188,121,204,3
55,8993,121,204,3
56,8760,121,204,3
57,8704,121,204,3
58,8587,121,204,3
59,8501,121,204,3
60,8417,121,204,3
61,8400,121,204,3
62,8339,121,204,3
63,8243,121,204,3
64,8233,121,204,3
65,8171,121,204,3
66,8090,121,204,3
67,7669,121,204,3
68,7548,121,204,3
69,7422,121,204,3
70,7320,121,204,3
71,7150,121,204,3
72,7131,121,204,3
73,7130,121,204,3
74,6959,121,202,3
75,6958,121,202,3
76,6957,121,202,3
77,6953,121,202,3
78,6949,121,202,3
79,6941,121,202,3
80,6937,121,202,3
81,6933,121,202,3
82,6932,121,202,3
83,6929,121,202,3
84,6926,121,202,3
85,6925,121,202,3
86,6804,121,200,3
87,6699,121,198,3
88,6074,121,190,3
89,6070,121,190,3
90,6000,121,190,3
91,5843,121,188,3
92,5777,121,188,3
93,5752,121,188,3
94,5699,121,188,3
95,5656,121,188,3
96,5595,121,188,3
97,5527,121,188,3
98,5425,121,188,3
99,5323,121,188,3
100,4737,121,186,3
101,4466,121,186,3
102,4097,121,184,3
103,3957,121,184,3
104,3421,121,182,3
105,3317,121,182,3
106,3001,121,182,3
107,2844,121,182,3
108,2795,121,182,3
109,2712,121,182,3
110,2694,121,182,3
111,2606,121,182,3
112,2602,121,182,3
113,2397,121,182,3
114,2362,121,182,3
115,2174,121,182,3
116,2125,121,182,3
117,2118,121,182,3
118,2076,121,182,3
119,1777,121,182,3
120,1628,121,182,3
121,1627,121,182,3
122,1620,121,182,3
123,1587,121,182,3
124,1586,121,182,3
125,1532,121,182,3
126,1487,121,182,3
127,1486,121,182,3
128,1463,121,182,3
129,1207,121,180,3
130,1195,121,180,3
131,969,121,178,3
132,964,121,178,3
133,749,121,176,3
134,649,121,176,3
135,470,121,174,3
136,404,121,174,3
137,403,121,174,3
138,387,121,174,3
139,386,121,174,3
140,382,121,174,3
141,380,121,174,3
142,376,121,174,3
143,375,121,174,3
144,374,121,174,3
145,371,121,174,3
146,369,121,174,3
147,368,121,174,3
148,367,121,174,3
149,363,121,174,3
150,362,121,174,3
151,358,121,174,3
152,355,121,174,3
153,354,121,174,3
154,342,121,174,3
155,341,121,174,3
156,259,121,174,3
157,258,121,174,3
158,242,121,174,3
159,241,121,174,3
160,224,121,174,3
161,223,121,174,3
162,207,121,174,3
163,206,121,174,3
164,191,121,174,3
165,190,121,174,3
166,189,121,174,3
167,188,121,174,3
168,184,121,174,3
169,183,121,174,3
170,153,121,174,3
171,152,121,174,3
172,130,121,174,3
173,129,121,174,3
174,125,121,174,3
175,124,121,174,3
176,101,121,174,3
177,100,121,174,3
178,96,121,174,3
179,93,121,174,3
180,86,121,174,3
181,80,121,174,3
182,79,121,174,3
183,78,121,174,3
184,74,121,174,3
185,73,121,174,3
